🕘️更新时间,#genre#
2026-06-23 03:07:46,http://198.204.240.250:82/live/cctv4k.m3u8

📺央视频道,#genre#
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
CCTV-4K,http://192.151.150.154/live/cctv4k.m3u8
CCTV-4K,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K,http://198.204.240.250:82/live/cctv8k.m3u8
CCTV-8K,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k
CCTV-8K,http://107.150.60.122/live/cctv8k.m3u8
CCTV-8K,http://192.151.150.154/live/cctv8k.m3u8
CCTV-8K,http://107.150.52.50:82/live/cctv8k.m3u8
CCTV-16 奥林匹克4K,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV-16 奥林匹克4K,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV-16 奥林匹克4K,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV-16 奥林匹克4K,http://1.24.39.180:808/hls/60/index.m3u8
CCTV-16 奥林匹克4K,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-1 综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1 综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1 综合,http://1.24.39.180:808/hls/1/index.m3u8
CCTV-1 综合,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV-1 综合,http://116.76.254.170:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-2 财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2 财经,http://1.24.39.180:808/hls/2/index.m3u8
CCTV-2 财经,http://114.242.62.109:888/hls/2/index.m3u8
CCTV-2 财经,http://116.76.254.170:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3 综艺,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3 综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3 综艺,http://ylt.7766.org:333/hls/3/index.m3u8
CCTV-3 综艺,http://1.24.39.180:808/hls/3/index.m3u8
CCTV-3 综艺,http://116.76.254.170:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 中文国际,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4 中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-4 中文国际,http://1.24.39.180:808/hls/4/index.m3u8
CCTV-4 中文国际,http://ylt.7766.org:333/hls/4/index.m3u8
CCTV-4 中文国际,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV-5 体育,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5 体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5 体育,http://1.24.39.180:808/hls/5/index.m3u8
CCTV-5 体育,http://113.26.251.182:8009/hls/5/index.m3u8
CCTV-5 体育,http://114.242.62.109:888/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5+ 体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV-5+ 体育赛事,http://114.242.62.109:888/hls/16/index.m3u8
CCTV-5+ 体育赛事,http://ylt.7766.org:333/hls/21/index.m3u8
CCTV-5+ 体育赛事,http://114.254.36.246:8888/rtp/239.3.1.130:8004
CCTV-6 电影,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-6 电影,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-6 电影,http://1.24.39.180:808/hls/6/index.m3u8
CCTV-6 电影,http://113.26.251.182:8009/hls/6/index.m3u8
CCTV-6 电影,http://114.242.62.109:888/hls/6/index.m3u8
CCTV-7 国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-7 国防军事,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-7 国防军事,http://1.24.39.180:808/hls/7/index.m3u8
CCTV-7 国防军事,http://114.242.62.109:888/hls/7/index.m3u8
CCTV-7 国防军事,http://113.26.251.182:8009/hls/7/index.m3u8
CCTV-8 电视剧,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-8 电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-8 电视剧,http://114.242.62.109:888/hls/8/index.m3u8
CCTV-8 电视剧,http://1.24.39.180:808/hls/8/index.m3u8
CCTV-8 电视剧,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV-9 纪录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-9 纪录,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-9 纪录,http://1.24.39.180:808/hls/9/index.m3u8
CCTV-9 纪录,http://114.242.62.109:888/hls/9/index.m3u8
CCTV-9 纪录,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV-10 科教,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10 科教,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-10 科教,http://114.242.62.109:888/hls/10/index.m3u8
CCTV-10 科教,http://1.24.39.180:808/hls/10/index.m3u8
CCTV-10 科教,http://113.26.251.182:8009/hls/10/index.m3u8
CCTV-11 戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-11 戏曲,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-11 戏曲,http://222.223.41.27:8888/hls/11/index.m3u8
CCTV-11 戏曲,http://1.24.39.180:808/hls/11/index.m3u8
CCTV-11 戏曲,http://114.242.62.109:888/hls/11/index.m3u8
CCTV-12 社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-12 社会与法,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009
CCTV-12 社会与法,http://1.24.39.180:808/hls/12/index.m3u8
CCTV-12 社会与法,http://113.26.251.182:8009/hls/12/index.m3u8
CCTV-12 社会与法,http://222.223.41.27:8888/hls/12/index.m3u8
CCTV-13 新闻,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV-13 新闻,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-13 新闻,http://114.242.62.109:888/hls/13/index.m3u8
CCTV-13 新闻,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-13 新闻,http://ylt.7766.org:333/hls/13/index.m3u8
